No,Date,Month,Who,Description,Income,Expense,Balance,Categories,Under_Categories,2nd_Under_Categories,Voucher No,Remark
40,4-Jul-25,7,Lwin Ko Oo,For buying vegetables and Beef for applicants,,"326,000","-326,000",EXPENSE,Food,,V-5,
41,4-Jul-25,7,Lwin Ko Oo,Buying for ingredients of cooking,,"489,000","-489,000",EXPENSE,Food,,V-6,
42,4-Jul-25,7,Lwin Ko Oo,For buying materials of kitchen,,"398,500","-398,500",EXPENSE,Food,,V-7,
43,4-Jul-25,7,Lwin Ko Oo,For buying materials of kitchen,,"55,000","-55,000",EXPENSE,Food,,V-8,
44,4-Jul-25,7,Lwin Ko Oo,For buying materials of kitchen,,"28,000","-28,000",EXPENSE,Food,,V-9,
45,4-Jul-25,7,Lwin Ko Oo,For buying materials of kitchen,,"74,000","-74,000",EXPENSE,Food,,V-10,
46,4-Jul-25,7,Lwin Ko Oo,For health care,,"50,000","-50,000",EXPENSE,Food,,V-11,
47,4-Jul-25,7,Lwin Ko Oo,Buying for ponds,,"180,000","-180,000",EXPENSE,Office,,,
48,4-Jul-25,7,Lwin Ko Oo,For lunch,,"31,000","-31,000",EXPENSE,Food,,,
49,5-Jul-25,7,Lwin Ko Oo,Buying materials for building,,"252,000","-252,000",Expense,Building,Construction,V-64,
50,5-Jul-25,7,Lwin Ko Oo,Buying Thambtrack,,"65,000","-65,000",Expense,Building,Construction,V-65,
51,5-Jul-25,7,Lwin Ko Oo,Buying wood for building,,"1,671,500","-1,671,500",Expense,Building,Construction,V-66,
52,6-Jul-25,7,Lwin Ko Oo,Students contribution,"12,570,000",,"12,570,000",INCOME,Student Contribution,,,
53,9-Jul-25,7,Lwin Ko Oo,Buying thumbtrack and fuel,,"41,000","-41,000",Expense,Office,,V-63,
54,10-Jul-25,7,Lwin Ko Oo,Buying materials for YLFC,,"135,000","-135,000",Expense,TeachingLearningFeclities,Stationery,V-61,
55,10-Jul-25,7,Lwin Ko Oo,Buying materials for YLFC,,"72,500","-72,500",Expense,TeachingLearningFeclities,Stationery,V-62,
56,11-Jul-25,7,Lwin Ko Oo,Buying solor accessories,,"91,000","-91,000",EXPENSE,Office,,V-14,
57,12-Jul-25,7,Lwin Ko Oo,Buying vegetables for applicants,,"169,500","-169,500",EXPENSE,Food,,V-15,
58,12-Jul-25,7,Lwin Ko Oo,For buying ingredients of cooking,,"313,500","-313,500",EXPENSE,Food,,V-16,
59,12-Jul-25,7,Lwin Ko Oo,Buying vegetables for applicants,,"163,000","-163,000",EXPENSE,Food,,V-17,
60,18-Jul-25,7,Lwin Ko Oo,Buying electricity accessories,,"197,500","-197,500",EXPENSE,Office,,V-19,
61,19-Jul-25,7,Lwin Ko Oo,For buying firewoods for YLFC,,"250,000","-250,000",EXPENSE,Office,,,
62,19-Jul-25,7,Lwin Ko Oo,Buying chickens for participants of YLFC,,"140,000","-140,000",EXPENSE,Food,,V-20,
63,19-Jul-25,7,Lwin Ko Oo,Buying vegetables for participants of YLFC,,"421,100","-421,100",EXPENSE,Food,,V-21,
64,19-Jul-25,7,Lwin Ko Oo,Buying materials for kitchen,,"45,500","-45,500",EXPENSE,Food,,V-22,
65,19-Jul-25,7,Lwin Ko Oo,Buying vegetables and ingredients of cooking,,"126,500","-126,500",EXPENSE,Food,,V-23,
66,19-Jul-25,7,Lwin Ko Oo,Buying eggs and vegetables,,"222,000","-222,000",EXPENSE,Food,,V-24,
67,20-Jul-25,7,Lwin Ko Oo,Buying textbooks for students of YLFC,,"4,074,000","-4,074,000",EXPENSE,TeachingLearningFeclities,Stationery,,
68,21-Jul-25,7,Lwin Ko Oo,Buying cooking oil for three months ,,"1,200,000","-1,200,000",EXPENSE,Food,,V-18,
69,21-Jul-25,7,Lwin Ko Oo,Buying Shark Topsun inverter,,"1,150,000","-1,150,000",EXPENSE,TeachingLearningFeclities,Laptops&Accessories,,
70,22-Jul-25,7,Lwin Ko Oo,Buying beef,,"100,000","-100,000",Expense,Food,,,
71,24-Jul-25,7,Lwin Ko Oo,Buying pork,,"110,000","-110,000",Expense,Food,,,
72,26-Jul-25,7,Lwin Ko Oo,Buying beef,,"50,000","-50,000",Expense,Food,,,
73,26-Jul-25,7,Lwin Ko Oo,Buying chickens for participants of YLFC,,"51,000","-51,000",EXPENSE,Food,,V-25,
74,26-Jul-25,7,Lwin Ko Oo,Buying vegetables for participants of YLFC,,"149,000","-149,000",EXPENSE,Food,,V-26,
75,26-Jul-25,7,Lwin Ko Oo,Buying ingredients of cooking,,"360,100","-360,100",EXPENSE,Food,,V-27,
76,26-Jul-25,7,Lwin Ko Oo,Buying vegetables for participants of YLFC,,"175,000","-175,000",EXPENSE,Food,,V-28,
77,26-Jul-25,7,Lwin Ko Oo,Buying vegetables for participants of YLFC,,"64,000","-64,000",EXPENSE,Food,,V-29,
78,29-Jul-25,7,Lwin Ko Oo,Buying beef,,"100,000","-100,000",Expense,Food,,,
79,29-Jul-25,7,Fr.Philip Aung Nge,Buying guiter and accessories,,"2,500,000","-2,500,000",EXPENSE,TeachingLearningFeclities,Music,,
80,29-Jul-25,7,Lwin Ko Oo,Teachers' stipend for YLFC (July),,"2,100,000","-2,100,000",EXPENSE,PersonalCost,Teacher stipends,Payment form-1,
81,30-Jul-25,7,Lwin Ko Oo,Buying beef,,"8,000","-8,000",Expense,Food,,,
82,31-Jul-25,7,Lwin Ko Oo,Buying pork,,"120,000","-120,000",Expense,Food,,,
83,2-Aug-25,8,Tr.Gracy,Pretty Use for YLFC,,"400,000","-400,000",EXPENSE,General Expense,,,
84,2-Aug-25,8,Lwin Ko Oo,Buying materials for kitchen,,"30,000","-30,000",EXPENSE,Food,,V-30,
85,2-Aug-25,8,Lwin Ko Oo,Buying ingredients of cooking,,"100,000","-100,000",EXPENSE,Food,,V-31,
86,2-Aug-25,8,Lwin Ko Oo,Buying vegetables for participants of YLFC,,"260,000","-260,000",EXPENSE,Food,,V-32,
87,2-Aug-25,8,Lwin Ko Oo,Buying vegetables for participants of YLFC,,"12,000","-12,000",EXPENSE,Food,,V-33,
88,2-Aug-25,8,Lwin Ko Oo,Buying vegetables for participants of YLFC,,"102,750","-102,750",EXPENSE,Food,,V-34,
89,2-Aug-25,8,Lwin Ko Oo,Buying eggs and vegetables,,"231,500","-231,500",EXPENSE,Food,,V-35,
90,2-Aug-25,8,Lwin Ko Oo,Buying beef,,"50,000","-50,000",EXPENSE,Food,,,
91,2-Aug-25,8,Lwin Ko Oo,Buying beef ,,"20,000","-20,000",EXPENSE,Food,,,
92,2-Aug-25,8,Lwin Ko Oo,Buying fish,,"180,000","-180,000",EXPENSE,Food,,,
93,3-Aug-25,8,Lwin Ko Oo,Buying vegetables for participants of YLFC,,"77,000","-77,000",EXPENSE,Food,,V-36,
94,5-Aug-25,8,Lwin Ko Oo,Buying beef,,"150,000","-150,000",EXPENSE,Food,,,
95,6-Aug-25,8,Fr.Philip Aung Nge,Buying guiter and accessories,,"10,000,000","-10,000,000",EXPENSE,TeachingLearningFeclities,Music,,
96,7-Aug-25,8,Lwin Ko Oo,Buying pork,,"230,000","-230,000",EXPENSE,Food,,,
97,7-Aug-25,8,Lwin Ko Oo,Buying solor lights,,"120,000","-120,000",EXPENSE,TeachingLearningFeclities,Stationery,V-44,
98,7-Aug-25,8,Fr.Philip Aung Nge,Buying guiter and accessories,,"571,150","-571,150",EXPENSE,TeachingLearningFeclities,Music,,
99,9-Aug-25,8,Lwin Ko Oo,Buying Fish for participants of YLFC,,"37,000","-37,000",EXPENSE,Food,,V-37,
100,9-Aug-25,8,Lwin Ko Oo,Buying vegetables for participants of YLFC,,"168,000","-168,000",EXPENSE,Food,,V-38,
101,9-Aug-25,8,Lwin Ko Oo,Buying vegetables and fish ,,"174,000","-174,000",EXPENSE,Food,,V-39,
102,9-Aug-25,8,Lwin Ko Oo,Buying eggs and vegetables,,"90,000","-90,000",EXPENSE,Food,,V-40,
103,9-Aug-25,8,Lwin Ko Oo,Buying vegetables for participants of YLFC,,"128,000","-128,000",EXPENSE,Food,,V-41,
104,9-Aug-25,8,Lwin Ko Oo,Buying vegetables and ingredients of cooking,,"371,500","-371,500",EXPENSE,Food,,V-42,
105,9-Aug-25,8,Lwin Ko Oo,Buying ingredients of cooking,,"52,000","-52,000",EXPENSE,Food,,V-43,
106,9-Aug-25,8,Lwin Ko Oo,Buying beef,,"140,000","-140,000",EXPENSE,Food,,,
107,9-Aug-25,8,Lwin Ko Oo,Buying fish,,"37,000","-37,000",EXPENSE,Food,,,
108,9-Aug-25,8,Fr.Philip Aung Nge,Buying violins accessories,,"33,000","-33,000",EXPENSE,TeachingLearningFeclities,Music,,Paid by Kpay
109,10-Aug-25,8,Fr.Philip Aung Nge,For buying rice,,"3,360,000","-3,360,000",EXPENSE,Food,,,Expended from Bank
110,12-Aug-25,8,Lwin Ko Oo,Buying beef,,"100,000","-100,000",EXPENSE,Food,,,
111,14-Aug-25,8,Lwin Ko Oo,Income from Bank,"5,000,000",,"5,000,000",INCOME,Project,,Request form - 2,
112,14-Aug-25,8,Lwin Ko Oo,Buying pork,,"130,000","-130,000",EXPENSE,Food,,,
113,14-Aug-25,8,Lwin Ko Oo,Buying uniforms for YLFC,,"1,344,000","-1,344,000",EXPENSE,TeachingLearningFeclities,Uniform,,
114,15-Aug-25,8,Lwin Ko Oo,School fees for August,"1,366,000",,"1,366,000",INCOME,Student Contribution,,,
115,15-Aug-25,8,Lwin Ko Oo,Buying vegetables and ingredients of cooking,,"347,000","-347,000",EXPENSE,Food,,V-44,
116,16-Aug-25,8,Lwin Ko Oo,Buying beef,,"90,000","-90,000",EXPENSE,Food,,V-45,
117,16-Aug-25,8,Lwin Ko Oo,Buying materials for kitchen,,"130,000","-130,000",EXPENSE,Food,,V-46,
118,16-Aug-25,8,Lwin Ko Oo,Buying ingredients of cooking,,"303,500","-303,500",EXPENSE,Food,,V-47,
119,16-Aug-25,8,Lwin Ko Oo,Buying vegetables for participants of YLFC,,"81,000","-81,000",EXPENSE,Food,,V-48,
120,16-Aug-25,8,Lwin Ko Oo,Buying vegetables for participants of YLFC,,"74,000","-74,000",EXPENSE,Food,,V-49,
121,16-Aug-25,8,Lwin Ko Oo,Buying vegetables for participants of YLFC,,"8,000","-8,000",EXPENSE,Food,,V-50,
122,16-Aug-25,8,Lwin Ko Oo,Buying materials for Ceremony,,"26,000","-26,000",EXPENSE,Ex Other,,V-54,For Fresher Welcome Ceremony
123,16-Aug-25,8,Lwin Ko Oo,Buying vegetables ,,"16,000","-16,000",EXPENSE,Ex Other,,V-55,For Fresher Welcome Ceremony
124,16-Aug-25,8,Lwin Ko Oo,Buying juice and sugar,,"45,000","-45,000",EXPENSE,Ex Other,,V-56,For Fresher Welcome Ceremony
125,16-Aug-25,8,Lwin Ko Oo,Buying ingredients of cooking,,"17,250","-17,250",EXPENSE,Ex Other,,V-57,For Fresher Welcome Ceremony
126,16-Aug-25,8,Lwin Ko Oo,Buying vegetables,,"20,000","-20,000",EXPENSE,Ex Other,,V-58,For Fresher Welcome Ceremony
