No,Date,Month,Who,Description,Income,Expense,Balance,Categories,Under_Categories,2nd_Under_Categories,Voucher No,Remark
175,20-Sep-25,9,Tr.Mine,Buying vegetables for participants of YLFC,,"125,000","-125,000",EXPENSE,Food,,V-95,
176,20-Sep-25,9,Tr.Mine,Buying ingredients of cooking,,"274,000","-274,000",EXPENSE,Food,,V-96,
177,20-Sep-25,9,Tr.Mine,Buying vegetables for participants of YLFC,,"134,000","-134,000",EXPENSE,Food,,V-97,
178,20-Sep-25,9,Tr.Mine,Buying vegetables for participants of YLFC,,"68,000","-68,000",EXPENSE,Food,,V-98,
179,20-Sep-25,9,Tr.Mine,Buying ingredients of cooking and vegetables,,"261,000","-261,000",EXPENSE,Food,,V-99,
180,20-Sep-25,9,Tr.Mine,Buying ingredients of cooking,,"146,000","-146,000",EXPENSE,Food,,V-100,
181,27-Sep-25,9,Tr.Mine,Buying vegetables for participants of YLFC,,"67,000","-67,000",EXPENSE,Food,,V-89,
182,27-Sep-25,9,Tr.Mine,Buying ingredients of cooking,,"168,500","-168,500",EXPENSE,Food,,V-90,
183,27-Sep-25,9,Tr.Mine,Buying vegetables for participants of YLFC,,"280,000","-280,000",EXPENSE,Food,,V-91,
184,27-Sep-25,9,Tr.Mine,Buying vegetables for participants of YLFC,,"142,500","-142,500",EXPENSE,Food,,V-92,
185,27-Sep-25,9,Tr.Mine,Buying Engine oil,,"25,000","-25,000",EXPENSE,Food,,V-93,
186,27-Sep-25,9,Tr.Mine,Transportaion Fees,,"30,000","-30,000",EXPENSE,Ex Other,,V-94,
187,30-Sep-25,9,Lwin Ko Oo,Teachers' stipend for YLFC (September),,"2,600,000","-2,600,000",EXPENSE,PersonalCost,Teacher stipends,Payment form-3,
188,30-Sep-25,9,Tr.Gracy,Pretty Use for YLFC,,"400,000","-400,000",EXPENSE,General Expense,,,
189,8-Oct-25,10,Tr.Mine,Buying materials for building,,"45,000","-45,000",EXPENSE,Ex Other,,V-112,
190,9-Oct-25,10,Lwin Ko Oo,Buying Zinc for roof,,"650,000","-650,000",EXPENSE,Building,Renovation,,
191,9-Oct-25,10,Lwin Ko Oo,Buying wood for building,,"550,000","-550,000",EXPENSE,Building,Renovation,,
192,9-Oct-25,10,tr.Mine,Buying thumbtrack ,,"6,000","-6,000",EXPENSE,Ex Other,,V-113,
193,10-Oct-25,10,Fr.Philip Aung Nge,Income for buying textbooks,"800,000",,"800,000",INCOME,Project,,,
194,10-Oct-25,10,Fr.Philip Aung Nge,Buying textbooks for students of YLFC,,"800,000","-800,000",EXPENSE,TeachingLearningFeclities,,,
195,10-Oct-25,10,Fr.Philip Aung Nge,Buying guiter and accessories,,"2,001,000","-2,001,000",EXPENSE,TeachingLearningFeclities,Music,,
196,13-Oct-25,10,Lwin Ko Oo,Purchasing Materials for Renovation,,"336,000","-336,000",EXPENSE,Building,Renovation,V-101,
197,13-Oct-25,10,Lwin Ko Oo,Fuel for going to buy materials for building,,"100,000","-100,000",EXPENSE,Building,Renovation,V-102,
198,18-Oct-25,10,Tr.Mine,Buying vegetables for participants of YLFC,,"262,500","-262,500",EXPENSE,Food,,V-103,
199,18-Oct-25,10,Tr.Mine,Buying vegetables for participants of YLFC,,"44,000","-44,000",EXPENSE,Food,,V-104,
200,18-Oct-25,10,Tr.Mine,Buying vegetables for participants of YLFC,,"41,600","-41,600",EXPENSE,Food,,V-105,
